2023-08-26T01:20:07.895-03:00  INFO 9508 --- [SpringApplicationShutdownHook] j.LocalContainerEntityManagerFactoryBean : Closing JPA EntityManagerFactory for persistence unit 'default'
2023-08-26T01:20:07.897-03:00  INFO 9508 --- [SpringApplicationShutdownHook] c.z.h.HikariDataSource                   : HikariPool-1 - Shutdown initiated...
2023-08-26T01:20:07.906-03:00  INFO 9508 --- [SpringApplicationShutdownHook] c.z.h.HikariDataSource                   : HikariPool-1 - Shutdown completed.
2023-08-26 01:21:37 ERROR com.grupo18.nocountry.greenpoint.GlobalExceptionHandler - Validation failed for argument [0] in public org.springframework.http.ResponseEntity<com.grupo18.nocountry.greenpoint.auth.AuthResponse> com.grupo18.nocountry.greenpoint.auth.AuthController.login(com.grupo18.nocountry.greenpoint.auth.LoginRequest): [Field error in object 'loginRequest' on field 'username': rejected value [fedes121AShotmail.com]; codes [Email.loginRequest.username,Email.username,Email.java.lang.String,Email]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [loginRequest.username,username]; arguments []; default message [username],[Ljakarta.validation.constraints.Pattern$Flag;@3b41213a,.*]; default message [debe ser una dirección de correo electrónico con formato correcto]] 
2023-08-26 01:24:14 INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2023-08-26 01:24:14 INFO  com.grupo18.nocountry.greenpoint.GreenpointApplication - Starting GreenpointApplication using Java 17.0.4.1 with PID 15792 (D:\ProjectsD\green-point-nc\backend\target\classes started by f42o in D:\ProjectsD\green-point-nc\backend)
2023-08-26 01:24:14 INFO  com.grupo18.nocountry.greenpoint.GreenpointApplication - No active profile set, falling back to 1 default profile: "default"
2023-08-26 01:24:15 INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-08-26 01:24:15 INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 98 ms. Found 6 JPA repository interfaces.
2023-08-26 01:24:16 INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-08-26 01:24:16 INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-08-26 01:24:16 INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-08-26 01:24:16 INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.11]
2023-08-26 01:24:16 INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-08-26 01:24:16 INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1905 ms
2023-08-26 01:24:16 INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2023-08-26 01:24:16 INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.6.Final
2023-08-26 01:24:16 INFO  org.hibernate.cfg.Environment - HHH000406: Using bytecode reflection optimizer
2023-08-26 01:24:16 INFO  org.hibernate.bytecode.internal.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
2023-08-26 01:24:16 INFO  org.springframework.orm.jpa.persistenceunit.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2023-08-26 01:24:16 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-08-26 01:24:17 INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@d0fabc8
2023-08-26 01:24:17 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-08-26 01:24:17 INFO  org.hibernate.bytecode.internal.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
2023-08-26 01:24:18 INFO  org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-08-26 01:24:18 INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-08-26 01:24:19 WARN  org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
